Package Name                                                                                           | Version          | ID  | Bundle Name
org.cytoscape.task.hide                                                                                | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.task.read                                                                                | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.task.select                                                                              | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.task.visualize                                                                           | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.task.write                                                                               | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.task                                                                                     | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.util.json                                                                                | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.util.swing                                                                               | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.layout                                                                              | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.model.events                                                                        | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.model                                                                               | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.presentation.annotations                                                            | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.presentation.customgraphics                                                         | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.presentation.events                                                                 | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.presentation.property.values                                                        | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.presentation.property                                                               | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.presentation                                                                        | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.vizmap.events                                                                       | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.vizmap.gui.editor                                                                   | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.vizmap.gui.event                                                                    | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.vizmap.gui.util                                                                     | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.vizmap.gui                                                                          | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.vizmap.mappings                                                                     | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.view.vizmap                                                                              | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.work.json                                                                                | 3.6.0            | 108 | org.cytoscape.rest.cy-rest
org.cytoscape.work.json                                                                                | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.work.properties                                                                          | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.work.swing.undo                                                                          | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.work.swing.util                                                                          | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.work.swing                                                                               | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.work.undo                                                                                | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.work.util                                                                                | 3.6.0            | 57  | org.cytoscape.api-bundle
org.cytoscape.work                                                                                     | 3.6.0            | 57  | org.cytoscape.api-bundle
org.dom4j.bean                                                                                         | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.datatype                                                                                     | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.dom                                                                                          | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.dtd                                                                                          | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.io                                                                                           | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.jaxb                                                                                         | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.rule.pattern                                                                                 | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.rule                                                                                         | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.swing                                                                                        | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.tree                                                                                         | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.util                                                                                         | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.xpath                                                                                        | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j.xpp                                                                                          | 3.6.0            | 47  | org.cytoscape.third-party
org.dom4j                                                                                              | 3.6.0            | 47  | org.cytoscape.third-party
